Gene	Predicted function	Role	Species
Glyma.11G235600	Domain of unknown function	Unknown	Hglycines
Glyma.11G240900	LRR-RK	Recognition	Hglycines
Glyma.11G250500	Rubber elongation factor	Unknown	Hglycines
Glyma.12G194100	Glutamate receptor	Signaling	Hglycines
Glyma.12G196600	Plastocyanin-like domain	Oxidative stress	Hglycines
Glyma.12G199400	Plastoquinol-plastocyanin reductase	Oxidative stress	Hglycines
Glyma.12G203300	pre-mRNA splicing factor	Transcriptional regulation	Hglycines
Glyma.12G208900	Clavata3 peptide	Signaling	Hglycines
Glyma.12G210400	14-3-3 protein, cell wall organization-related	Physical barrier	Hglycines
Glyma.12G210600	Phosphoenolpyruvate carboxylase	Unknown	Hglycines
Glyma.12G210800	Domain of unknown function	Unknown	Hglycines
Glyma.12G222500	AMP-activated protein kinase	Signaling	Hglycines
Glyma.12G226200	Serine/threonine protein kinase	Signaling	Hglycines
Glyma.13G004400	Zinc transporter	Transport	Hglycines
Glyma.13G005500	Bifunctional protease inhibitor/lipid-transfer protein	Direct function	Hglycines
Glyma.13G149100	Sulfite exporter	Transport	Hglycines
Glyma.13G163700	NAP ABC transporter, Fe-S complex assembly	Transport	Hglycines
Glyma.13G169900	HD-zip transcription factor	Transcriptional regulation	Hglycines
Glyma.13G178700	Extensin family protein	Physical barrier	Hglycines
Glyma.13G181000	Asparagine synthetase	Oxidative stress	Hglycines
Glyma.13G187100	Phosphatase 2a protein	Signaling	Hglycines
Glyma.13G187800	SAC3 family	Unknown	Hglycines
Glyma.13G191400	Sulfotransferase 2A, acting on 12-hydroxyjasmonic acid	Phytohormone metabolism	Hglycines
Glyma.13G196200	Aspartyl protease	Signaling	Hglycines
Glyma.13G205000	Protein of unknown function	Unknown	Hglycines
Glyma.13G217700	Protein of unknown function	Unknown	Hglycines
Glyma.13G220900	Early-responsive to dehydration (ERD4) protein	Oxidative stress	Hglycines
Glyma.14G028100	MAP kinase	Signaling	Hglycines
Glyma.14G031800	Photosystem II subunit P-1, calcium-binding	Oxidative stress	Hglycines
Glyma.14G038200	Cysteine-type endopeptidase inhibitor	Direct function	Hglycines
Glyma.14G201700	Peroxidase	Oxidative stress	Hglycines
Glyma.14G216100	LRR-RK	Recognition	Hglycines
Glyma.15G127400	Cysteine- desulfurase	Oxidative stress	Hglycines
Glyma.15G134400	Phosphatidylinositol transfer protein	Signaling	Hglycines
Glyma.15G152900	C2 domain-containg protein	Unknown	Hglycines
Glyma.15G158900	Metalloprotease	Signaling	Hglycines
Glyma.15G253700	Photosystem II subunit R	Oxidative stress	Hglycines
Glyma.15G263600	pre-mRNA splicing factor	Transcriptional regulation	Hglycines
Glyma.16G051800	NAC transcription factor	Transcriptional regulation	Hglycines
Glyma.16G053900	TCP transcription factor	Transcriptional regulation	Hglycines
Glyma.16G060800	Germin-like protein	Signaling	Hglycines
Glyma.16G060900	Germin-like protein	Signaling	Hglycines
Glyma.16G072000	2OG-Fe(II) oxygenase	Oxidative stress	Hglycines
Glyma.17G008000	Cytochrome b-561/ferric reductase transmembrane domains	Oxidative stress	Hglycines
Glyma.17G009800	2OG-Fe(II) oxygenase	Oxidative stress	Hglycines
Glyma.17G019300	Copper amine oxidase	Oxidative stress	Hglycines
Glyma.17G037600	Ubiquitin protein ligase	Signaling	Hglycines
Glyma.18G022400	Amino acid transporter	Transport	Hglycines
Glyma.18G055500	Peroxidase	Oxidative stress	Hglycines
Glyma.18G056400	Senescence-associated protein	Unknown	Hglycines
Glyma.18G077500	Y-box transcription factor	Transcriptional regulation	Hglycines
Glyma.18G103700	Cysteine-type endopeptidase inhibitor	Direct function	Hglycines
Glyma.18G191800	Bifunctional protease inhibitor/lipid-transfer protein	Direct function	Hglycines
Glyma.18G192000	HSP20 chaperones	Translational regulation	Hglycines
Glyma.18G201100	Isoamyl acetate-hydrolyzing esterase	Signaling	Hglycines
Glyma.19G000200	Ferredoxin-thioredoxin reductase	Oxidative stress	Hglycines
Glyma.19G001000	Copper transporter	Transport	Hglycines
Glyma.19G007800	Serine protease	Signaling	Hglycines
Glyma.19G010100	HD-zip transcription factor	Transcriptional regulation	Hglycines
Glyma.19G011600	Nodulin MtN21 /EamA-like transporter	Transport	Hglycines
Glyma.19G011700	Peroxidase	Oxidative stress	Hglycines
Glyma.19G013800	Ferredoxin-thioredoxin reductase	Oxidative stress	Hglycines
Glyma.19G016000	Protein of unknown function	Unknown	Hglycines
Glyma.19G109000	Hydroxyproline-rich glycoprotein	Physical barrier	Hglycines
Glyma.19G122700	MYB transcription factor	Transcriptional regulation	Hglycines
Glyma.19G129300	Dual specificity phosphatase	Signaling	Hglycines
Glyma.19G161100	Auxin-inducible protein	Unknown	Hglycines
Glyma.19G186100	Aquaporin	Oxidative stress	Hglycines
Glyma.19G189100	Ubiquitin protein ligase	Signaling	Hglycines
Glyma.19G193800	AN1-type zinc-finger	Transcriptional regulation	Hglycines
Glyma.19G204400	Serine/threonine protein phosphatase	Signaling	Hglycines
Glyma.19G219500	Boron transporter	Transport	Hglycines
Glyma.19G228700	Universal stress protein family	Signaling	Hglycines
Glyma.19G230300	Wall-associated receptor kinase	Recognition	Hglycines
Glyma.19G234100	Histone H2A	Transcriptional regulation	Hglycines
Glyma.20G010900	2OG-Fe(II) oxygenase	Oxidative stress	Hglycines
Glyma.20G017900	Polyketide cyclase/dehydrase and lipid transport	Direct function	Hglycines
Glyma.20G020900	Phloem protein 2	Unknown	Hglycines
Glyma.20G030300	Transmembrane protein	Unknown	Hglycines
Glyma.20G033800	Nitrate, fromate, iron dehydrogenase, cell wall-organization	Physical barrier	Hglycines
Glyma.20G082800	Splicing factor 3b	Transcriptional regulation	Hglycines
Glyma.20G096100	bHLH transcription factor	Transcriptional regulation	Hglycines
Glyma.20G100400	Oligopeptidase	Signaling	Hglycines
Glyma.20G105800	Chaperone	Translational regulation	Hglycines
Glyma.20G106600	Protein of unknown function	Unknown	Hglycines
Glyma.20G178900	Ubiquitin-conjugating enzyme E2C	Signaling	Hglycines
Glyma.20G212900	Chlorophyll A/B-binding protein	Oxidative stress	Hglycines
Glyma.20G213700	O-methyltransferase	Transcriptional regulation	Hglycines
Glyma.20G214200	Peroxidase	Oxidative stress	Hglycines
Glyma.20G215500	Protein of unknown function	Unknown	Hglycines
